keyword,matched_text,title,sentence
immigrant,immigrant,Don Bosco Technical High School (Boston),"It was founded in 1946 as a school for immigrant boys by the Salesians of Don Bosco, a religious order of priests and brothers."
immigrants,immigrants,Don Bosco Technical High School (Boston),"The new school was founded in almost a perfect location and time period: it served large numbers of the underprivileged children of mostly Roman Catholic Italian immigrants, offering both a trade and religious education."
immigrant,immigrant,Marble High School,"Ambrosini, an Italian immigrant."
ESL,ESL,Laconia High School (New Hampshire),"Programs include English for Students of Other Languages (ESL), which provides multi-level instruction in speaking, listening, reading, and writing for non-native English speakers."
immigrant,immigrant,St. Vincent Ferrer High School,The school was founded in 1884 by the Dominican fathers of the Church of Saint Vincent Ferrer to meet the growing immigrant population.
immigrants,immigrants,Oakland International High School,"The school targets a population of students, newly arrived immigrants, who have historically been under-served nationally, in California, and in Oakland."
immigrants,immigrants,Oakland International High School,The network's mission is to provide quality education to recently arrived immigrants by developing and interconnecting small high schools based on the Internationals approach.
immigrants,immigrants,Oakland International High School,The mission of OIHS is to provide newly arrived immigrants a quality alternative education focused on English language acquisition in preparation for college.
immigration,immigration,Oakland International High School,"Approximately 25% of students hold refugee immigration status, having escaped ethnic conflicts in Liberia, Nepal, Burma, and Central Asia."
refugee,refugee,Oakland International High School,"Approximately 25% of students hold refugee immigration status, having escaped ethnic conflicts in Liberia, Nepal, Burma, and Central Asia."
refugee,refugee,Oakland International High School,"Furthermore, teachers are trained on the refugee experience and its various narratives in order to best educate their students and help with the resettlement of these populations."
refugee,refugee,Oakland International High School,"25,000 new refugee students enter the U.S."
refugee,refugee,Oakland International High School,These figures reflect the fact that about half of the world's refugee population are minors.
refugee,Refugee,Oakland International High School,"Through the Refugee Act, refugees upon arrival in the U.S."
refugee,refugee,Oakland International High School,"receive eight months of medical and cash assistance; however services for youth refugees are limited, even in schools which have been proven to be the most stable and effective institution of support for refugee families."
bilingual,Bilingual,Oakland International High School,"Bilingual education was barred from the classroom in 1998 by California Proposition 227, but these restrictions were repealed by California Proposition 58 when it passed in 2016."
bilingual,bilingual,Oakland International High School,"In the ongoing debate on bilingual education, OIHS chooses to implement an immersion approach, despite scholarly evidence that supports transitional and bilingual education models."
bilingual,bilingual,Oakland International High School,"In the ongoing debate on bilingual education, OIHS chooses to implement an immersion approach, despite scholarly evidence that supports transitional and bilingual education models."
ESL,ESL,Toledo Early College High School,"However, preference is given to students who are ethnic minorities, ESL students, students who qualify for free/reduced lunches, and students who are the first generation to attend college."
English language learner,English Language Learner,Greater Lowell Technical High School,"The race/ethnicity of the 2,302 students enrolled for the 2022–2023 school year is: African American - 7.6% Asian - 20.0% Hispanic - 33.4% Native American - 0.2% White - 35.0% Multi-Race, Non-Hispanic - 3.8% The selected populations for the 2,302 students enrolled for the 2022–2023 school year are: First Language not English - 23.6% English Language Learner - 7.9% Low-income- 48.7% Students with Disabilities - 16.2% High Needs - 61.0%"
bilingual,bilingual,Ferrahian Armenian School,"The school is part of the Western Prelacy of Armenian Schools, which seeks to promote bilingual education and cultural growth to the city's Armenian community."
immigrant,immigrant,Power Memorial Academy,"Power, pastor of All Saints Parish in Harlem, asked the Christian Brothers of Ireland (now the Congregation of Christian Brothers) to come to the United States and open a school to teach the boys of the largely Irish immigrant parish."
bilingual,bilingual,Charlestown High School,"The School Report Card reflects that 70.6% of the students enrolled in 2003-2004 were in regular education, and 7.1% in bilingual education, with a further 22.2% in special education."
immigrant,immigrant,Minnesota Mr. Basketball,"The award's legitimacy was challenged in February 2017 when Henry Sibley, Minnesota high school basketball coach John Carrier called out owner and chairman Ken Lien for his politicized anti-Muslim and anti-immigrant tweets from the @mrbasketballmn Twitter account."
citizenship,Citizenship,American University Preparatory School,"Its curricular focus is on Global Studies & Citizenship, Digital Media Arts, Computer Science, Leadership, and Entrepreneurship in the 21st century."
English language learner,English language learner,Newark High School (Delaware),As of the 2012-2013 school year the percentage of students listed as 'English language learner' was 2.5% (down 0.8% compared to the previous year).
visa,visa,"Mount Zion Christian Schools (Manchester, New Hampshire)","Over the years, the school has hosted several international students as it is recognized as a SEVIS international-student visa-granting school."
bilingual,bilingual,Lourdes Catholic School,"Lourdes Catholic is a bicultural, bilingual Catholic school founded in 1934."
ESL,ESL,Murry Bergtraum High School,The school is only one out of two in Lower Manhattan that also gives admittance to English as a Second Language (ESL) students.
ESL,ESL,Murry Bergtraum High School,"Out of the 3,000-plus students, 11.97% are ESL students."
immigration,Immigration,Parkview Baptist High School,The school has also been approved to receive foreign students by the United States Immigration and Naturalization Services.
naturalization,Naturalization,Parkview Baptist High School,The school has also been approved to receive foreign students by the United States Immigration and Naturalization Services.
English language learner,English language learner,Maplewood High School (Tennessee),"In addition, a small English language learner student population was transferred from Maplewood to another high school."
citizenship,citizenship,Caverna High School,"The curriculum of Caverna High School aims to prepare students for citizenship; future occupations; physical fitness; intellectual, cultural, and moral growth; and critical thinking in everyday life."
ESL,ESL,Hunterdon Central Regional High School,"For the 2005–06 school year, the district was recognized with the 'Best Practices Award' by the New Jersey Department of Education for its 'Books Breaking Barriers: The ESL Literature Circle' World Languages program at Hunterdon Central Regional High School."
immigration,Immigration,Institute for Collaborative Education,"In 2025, the school began rebranding itself as Ny.ICE (pronounced 'nice') and using its full name, citing the ICE acronym's negative associations with the United States Immigration and Customs Enforcement."
ICE,ICE,Institute for Collaborative Education,The Institute for Collaborative Education (also called ICE and Ny.ICE) is a college-preparatory public secondary school (grades 6–12) in the Gramercy Park neighborhood of Manhattan in New York City near Stuyvesant Town–Peter Cooper Village.
ICE,ICE,Institute for Collaborative Education,The Institute for Collaborative Education (also called ICE and Ny.ICE) is a college-preparatory public secondary school (grades 6–12) in the Gramercy Park neighborhood of Manhattan in New York City near Stuyvesant Town–Peter Cooper Village.
ICE,ICE,Institute for Collaborative Education,"It is a member of the New York Performance Standards Consortium and is 'given a waiver from the chancellor's uniform curriculum.' As a Consortium school, ICE's students are exempt from taking most Regents exams."
ICE,ICE,Institute for Collaborative Education,"Until recently, ICE was a screened school, requiring middle school applicants to submit an essay and undergo an interview."
ICE,ICE,Institute for Collaborative Education,"After the COVID-19 pandemic, the school changed to a lottery system, but with two 'priority groups': Diversity: 50% of the school's seats go to students who qualify for free or reduced-price lunch Sibling priority: Students with a sibling currently in 6th through 11th grade at ICE have priority ICE was founded in 1993 by John Pettinato as an educational alternative to the Regents Exam-based testing system in favor of portfolio-based assessment."
ICE,ICE,Institute for Collaborative Education,"After the COVID-19 pandemic, the school changed to a lottery system, but with two 'priority groups': Diversity: 50% of the school's seats go to students who qualify for free or reduced-price lunch Sibling priority: Students with a sibling currently in 6th through 11th grade at ICE have priority ICE was founded in 1993 by John Pettinato as an educational alternative to the Regents Exam-based testing system in favor of portfolio-based assessment."
ICE,ICE,Institute for Collaborative Education,ICE was also designed to be a haven for unhoused and underserved youths.
ICE,ICE,Institute for Collaborative Education,"In 2025, the school began rebranding itself as Ny.ICE (pronounced 'nice') and using its full name, citing the ICE acronym's negative associations with the United States Immigration and Customs Enforcement."
ICE,ICE,Institute for Collaborative Education,"In 2025, the school began rebranding itself as Ny.ICE (pronounced 'nice') and using its full name, citing the ICE acronym's negative associations with the United States Immigration and Customs Enforcement."
ICE,ICE,Institute for Collaborative Education,"As part of its commitment to resisting high-stakes standardized tests, the school 'specifically invites parents of middle-school students to join the opt-out initiative, asking them to demonstrate support for the kind of teaching and learning the school provides, an approach that is antagonistic to rote test preparation.' The New York Times described ICE's approach to learning as 'one that fosters the knowledge and the style of critical thinking that the Common Core and most sane, intelligent people understand as essential."
ICE,ICE,Institute for Collaborative Education,"Most ICE students stay at the school through high school, with only 5-15 ninth-grade seats available per year."
ICE,ICE,Institute for Collaborative Education,"In 2012, ICE 'received an 'A' on its DOE progress report and graduated 86.4 percent of its high school students in four years.' In 2022, the high school boasted a 98.6% graduation rate."
ICE,ICE,Institute for Collaborative Education,ICE seniors spend the second semester pursuing an internship for 26 hours per week.
ICE,ICE,Institute for Collaborative Education,"ICE is housed in the old Stuyvesant High School building at 345 East 15th Street, alongside two other schools — the High School for Health Professions and Human Services and P.S."
ICE,ICE,Institute for Collaborative Education,"ICE's Model United Nations debates solutions to international issues, and attends conferences within New York City, as well as throughout the United States."
ICE,ICE,Institute for Collaborative Education,"In 2023, ICE's delegation won the NHSMUN conference's First Place Distinction Award for Research and Preparedness."
ICE,ICE,Institute for Collaborative Education,ICE offers an array of athletic teams for its students.
ICE,ICE,Institute for Collaborative Education,"Additionally, MTA Regional Bus Operations' M14A, M14D, M15 and M15 SBS routes stop near ICE."
bilingual,bilingual,Harrison Technical High School,"The students planned massive walkouts to fight for an end to discrimination in Chicago Public Schools, along with other demands like more teachers of color, bilingual classes, and ethnic studies classes."
bilingual,bilingual,Palmer Trinity School,"Today Palmer Trinity’s students, over 50% of whom are bilingual, come from 37 countries."
immigration,immigration,Mehlville High School,"Mehlville is a cultural melting pot, influenced heavily by immigration and foreign exchange students."
immigration,immigration,Roosevelt High School (Minnesota),"On January 7, 2026, officers from the Border Patrol, among them senior official Gregory Bovino, entered school property allegedly in pursuit of a suspect who had rammed his vehicle into a government vehicle during 'immigration enforcement operations' as students were being dismissed from classes."
immigration,Immigration,Roosevelt High School (Minnesota),"As a result of the incident and the killing of Renée Good the same day by an Immigration and Customs Enforcement officer, Minneapolis Public Schools closed all schools across Minneapolis until the following Monday."
immigration,immigration,Roosevelt High School (Minnesota),"Upon returning to class on Monday, students staged a walkout protest against federal immigration enforcement in the area."
border,Border Patrol,Roosevelt High School (Minnesota),"On January 7, 2026, officers from the Border Patrol, among them senior official Gregory Bovino, entered school property allegedly in pursuit of a suspect who had rammed his vehicle into a government vehicle during 'immigration enforcement operations' as students were being dismissed from classes."
border,Border Patrol,Roosevelt High School (Minnesota),Teachers from the school reportedly confronted the Border Patrol officers and told them to stay off school property and away from the students.
border,Border Patrol,Roosevelt High School (Minnesota),"Some teachers, students, and parents ended up in scuffles with Border Patrol officers."
border,Border Patrol,Roosevelt High School (Minnesota),"After the incident, the Department of Homeland Security (DHS) issued a statement in which they claimed an individual who identified themselves as a teacher assaulted a Border Patrol agent and that a crowd of people formed and 'threw objects and dispersed paint on the officers and their vehicles'."
border,Border Patrol,Roosevelt High School (Minnesota),The DHS said that Border Patrol officers were forced to use 'targeted crowd control' in response to the 'rioters'.
border,Border Patrol,Roosevelt High School (Minnesota),"The Minneapolis Federation of Teachers said that a teacher was arrested and later released, and that Border Patrol agents had deployed tear gas against faculty and students at the school, a claim which the DHS denied."
border,Border Patrol,Roosevelt High School (Minnesota),The suspect who the Border Patrol was pursuing was arrested and identified as a US citizen.
immigrant,immigrant,Townsend Harris Hall Prep School,There were also some students coming from the immigrant Irish and immigrant Italian communities.
immigrant,immigrant,Townsend Harris Hall Prep School,There were also some students coming from the immigrant Irish and immigrant Italian communities.
immigrant,immigrant,Townsend Harris Hall Prep School,"Admission to City College was quite competitive (its change to open admissions would not happen until decades later), so gaining entrance to Townsend Harris, with its future of a secured spot at City College, was greatly desired by determined students from immigrant backgrounds."
immigrant,immigrant,Townsend Harris Hall Prep School,"Instead of catering to striving immigrant families from Eastern Europe as the original school did, it caters to similar demographics from Asia and Latin America."
immigrants,immigrants,Townsend Harris Hall Prep School,"The Jewish immigrants of the time started finding a place at Townsend Harris, such that by the time the three-year school began in the 1900s, some 75 percent of the student body was Jewish, a figure that would grow to over 90 percent by 1920."
immigrants,immigrants,Townsend Harris Hall Prep School,"Students were typically immigrants themselves, or the children of immigrants."
immigrants,immigrants,Townsend Harris Hall Prep School,"Students were typically immigrants themselves, or the children of immigrants."
immigration,immigration,Townsend Harris Hall Prep School,The school's demographic composition would change with the large-scale immigration from Eastern Europe and elsewhere around the turn of the century.
ICE,ICE,EStem Public Charter Schools,"On February 4, 2026, about 140 students walked out during school hours to protest ICE following the January killings of Renée Good and Alex Pretti."
refugee,refugee,"Central High School (Phoenix, Arizona)","Central also is noted for its substantial refugee population, one of the largest in the state."
immigrants,immigrants,Pocomoke High School,"The club explores the rich, diverse history and culture of all marginalized populations including women, immigrants, refugees, people of color, and members of the LGBTQIA community."
citizenship,citizenship,"Carthage Senior High School (Carthage, Missouri)","In 2011, Carthage the '5 Star Leadership School' Distinction, which encourages students to become even more active in regard to sportsmanship, character, education, and citizenship."
sanctuary,sanctuary,"St. Mary Catholic High School (Neenah, Wisconsin)","Since 1997, additional facilities have been added, including the EEEC Energy Center; Jane's Woods, a two-acre wildlife sanctuary; and Zephyr Fields, a new football/soccer stadium."
citizenship,Citizenship,Odyssey – The Essential School,"It is one of three small schools at the Tyee Educational Complex, along with the Academy of Citizenship and Empowerment and Global Connections High School."
bilingual,bilingual,International School of Boston,"International School of Boston (ISB; French: Lycée International de Boston or LIB, previously École Internationale de Boston) is a bilingual co-educational TPS-12 private school in Cambridge, Massachusetts."
bilingual,bilingual,International School of Boston,The Jardin d’Enfants was one of the first bilingual programs in the United States.
citizenship,citizenship,Lincoln High School (West Virginia),"The NJROTC is a branch of the Junior Reserve Officers' Training Corps, in which students are, according to Title 10, Section 2031 of the United States Code, instilled with the values of citizenship, service to the United States, and personal responsibility and a sense of accomplishment."
undocumented,undocumented,Gary Comer College Prep,"Noble seniors earned a record-breaking $486 million in scholarships, including 71 recipients of the Pritzker Access Scholarship for undocumented students."
bilingual,Bilingual,International High School of San Francisco,"Paul Episcopal, Holy Spirit c) Bilingual schools: Chinese American International School, Ecole Bilingue de Berkeley, Lycée Français de San Francisco, International School of the Peninsula d) Public schools: Alice Fong Yu, Aptos, Everett, Gateway, Hoover, Kipp Bridge, Lawton, Presidio, Rooftop, Mill Valley Middle, Crocker Middle (Hillsborough) Ingrid Lacy (Pacifica), Fernando Rivera (Daly City) A small number of students enter from schools abroad."
