keyword,"Bronx Science (specialized, NYC)","Cherry Hill East (suburban, NJ)","Colby HS (rural public, KS)","Crenshaw (Title I urban, CA)","Dunbar (Title I urban, DC)","Frederick Douglass (Title I, NYC)","Groton (elite private, MA)","Hays HS (rural public, KS)","Hotchkiss (elite private, CT)","Naperville Central (suburban, IL)","Phillips Exeter (elite private, NH)","Stuyvesant (specialized, NYC)","Thomas Jefferson (selective magnet, VA)","Westfield (suburban, NJ)"
AP,28.4658,3.8552,0.0,2.2918,4.2245,13.0862,8.4992,4.0928,7.6184,16.5107,6.2619,9.1137,10.5171,9.3091
Title I,0.0,1.9276,0.0,0.7639,0.0,0.0,0.0,0.0,0.0,0.5504,0.0,0.0,0.0,2.8962
competitive,0.0,0.0,0.0,0.0,0.0,0.0,0.6219,0.0,0.0,1.1007,0.0,0.0,0.0,0.0
diverse,0.7394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5693,0.0,0.0,0.0
elite,0.0,0.0,0.0,0.0,0.0,0.0,0.6219,0.0,0.0,0.0,0.759,0.0,0.0,0.0
endowment,0.0,0.0,0.0,0.0,0.0,0.0,0.6219,0.0,0.6625,0.0,0.9488,0.3574,0.0,0.0
gifted,0.7394,0.0,0.0,0.7639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1787,0.0,0.0
honors,1.8484,0.2142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
magnet,0.0,0.0,0.0,0.7639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3146,0.2069
need-blind,0.0,0.0,0.0,0.0,0.0,0.0,0.8292,0.0,0.0,0.0,0.759,0.0,0.0,0.0
prestigious,0.3697,0.0,0.0,0.7639,0.0,1.0905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scholarship,0.0,0.0,0.0,0.0,0.0,3.2715,1.0365,0.0,2.9811,0.0,0.5693,0.1787,0.4382,0.0
selective,0.0,0.0,0.0,0.0,0.0,0.0,0.2073,0.0,0.0,0.0,0.0,0.3574,0.4382,0.0
specialized,1.8484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0379,0.8764,0.0
tuition,0.0,0.0,0.0,0.0,0.0,0.0,1.8657,0.0,0.6625,0.0,0.759,0.1787,0.0,0.0
