step,loss,learning_rate,elapsed_s
1,3.037426,0.00e+00,10.4
2,2.964381,1.00e-05,19.3
3,3.100610,2.00e-05,28.2
4,2.982315,3.00e-05,37.3
5,3.149176,4.00e-05,46.4
6,2.976444,5.00e-05,55.6
7,2.948610,6.00e-05,64.9
8,2.860072,7.00e-05,74.5
9,2.925422,8.00e-05,84.3
10,2.903023,9.00e-05,94.2
11,2.598560,1.00e-04,104.0
12,2.752881,1.10e-04,113.9
13,2.764196,1.20e-04,124.0
14,2.667328,1.30e-04,134.2
15,2.310659,1.40e-04,144.7
16,2.668395,1.50e-04,155.4
17,2.509650,1.60e-04,166.3
18,2.534152,1.70e-04,177.3
19,2.552340,1.80e-04,188.3
20,2.417635,1.90e-04,199.3
21,2.586016,2.00e-04,210.2
22,2.391064,2.00e-04,221.3
23,2.527797,2.00e-04,232.3
24,2.435344,2.00e-04,243.2
25,2.180451,2.00e-04,254.1
26,2.338356,2.00e-04,265.4
27,2.299194,1.99e-04,276.6
28,2.233313,1.99e-04,288.0
29,2.397632,1.99e-04,299.1
30,2.345665,1.99e-04,310.4
31,2.303228,1.98e-04,321.8
32,2.354693,1.98e-04,333.0
33,2.325151,1.98e-04,344.3
34,2.191019,1.97e-04,355.6
35,2.252006,1.97e-04,366.7
36,2.160386,1.97e-04,378.0
37,2.305593,1.96e-04,389.3
38,2.208834,1.96e-04,400.6
39,2.135685,1.95e-04,412.5
40,2.119266,1.95e-04,423.9
41,2.208496,1.94e-04,435.2
42,2.104228,1.93e-04,446.6
43,2.171202,1.93e-04,458.4
44,2.107208,1.92e-04,469.9
45,2.259899,1.91e-04,481.2
46,2.247224,1.91e-04,492.9
47,2.161713,1.90e-04,504.4
48,2.159168,1.89e-04,515.7
49,1.939251,1.88e-04,527.2
50,2.089377,1.87e-04,538.6
51,2.123732,1.87e-04,550.0
52,1.996569,1.86e-04,561.2
53,2.309499,1.85e-04,572.8
54,2.164250,1.84e-04,584.6
55,2.110822,1.83e-04,596.1
56,2.086075,1.82e-04,607.5
57,2.132346,1.81e-04,618.9
58,2.131315,1.80e-04,630.2
59,2.098313,1.79e-04,641.7
60,2.066325,1.78e-04,653.1
61,2.216852,1.77e-04,664.6
62,2.063666,1.75e-04,676.0
63,1.973398,1.74e-04,687.5
64,2.175973,1.73e-04,698.7
65,2.294092,1.72e-04,710.1
66,2.312042,1.71e-04,721.5
67,2.205554,1.69e-04,732.9
68,2.154015,1.68e-04,744.5
69,2.074392,1.67e-04,756.7
70,2.082906,1.66e-04,769.1
71,2.163384,1.64e-04,781.3
72,2.170144,1.63e-04,794.0
73,2.099155,1.62e-04,807.0
74,2.267296,1.60e-04,818.9
75,2.128030,1.59e-04,831.5
76,2.052156,1.57e-04,844.0
77,2.155984,1.56e-04,856.6
78,2.186249,1.54e-04,868.5
79,2.038635,1.53e-04,880.7
80,2.356766,1.52e-04,892.3
81,2.061486,1.50e-04,903.8
82,2.059350,1.48e-04,915.5
83,2.119116,1.47e-04,927.3
84,2.111954,1.45e-04,939.0
85,2.102677,1.44e-04,950.5
86,2.243362,1.42e-04,962.2
87,2.129261,1.41e-04,974.0
88,1.911673,1.39e-04,985.8
89,2.188164,1.37e-04,997.5
90,2.152958,1.36e-04,1009.1
91,2.077429,1.34e-04,1021.4
92,2.409427,1.33e-04,1033.2
93,2.211360,1.31e-04,1045.2
94,2.197764,1.29e-04,1056.8
95,2.189384,1.28e-04,1068.6
96,2.118178,1.26e-04,1080.4
97,2.224056,1.24e-04,1092.3
98,2.032797,1.22e-04,1104.0
99,2.171118,1.21e-04,1115.7
100,2.041207,1.19e-04,1127.4
101,2.161922,1.17e-04,1139.2
102,2.135552,1.16e-04,1151.1
103,2.156026,1.14e-04,1162.7
104,2.214962,1.12e-04,1174.2
105,2.113963,1.10e-04,1186.2
106,2.076485,1.09e-04,1197.8
107,2.171518,1.07e-04,1209.6
108,1.995379,1.05e-04,1221.1
109,2.150063,1.03e-04,1232.9
110,2.132054,1.02e-04,1244.5
