step,loss,learning_rate,elapsed_s
1,3.044483,0.00e+00,13.1
2,2.971197,1.33e-06,23.6
3,3.109662,2.67e-06,34.1
4,2.995131,4.00e-06,44.6
5,3.172014,5.33e-06,55.1
6,3.015287,6.67e-06,65.8
7,3.009029,8.00e-06,76.6
8,2.941715,9.33e-06,87.3
9,3.026357,1.07e-05,98.4
10,3.043605,1.20e-05,109.7
11,2.770437,1.33e-05,120.9
12,2.938673,1.47e-05,132.0
13,2.988398,1.60e-05,143.4
14,2.917493,1.73e-05,155.2
15,2.576160,1.87e-05,167.5
16,2.994127,2.00e-05,179.9
17,2.822115,2.13e-05,192.6
18,2.838217,2.27e-05,205.3
19,2.876169,2.40e-05,217.9
20,2.754947,2.53e-05,230.9
21,2.926674,2.67e-05,243.8
22,2.711295,2.80e-05,257.0
23,2.892150,2.93e-05,270.2
24,2.775025,3.07e-05,283.2
25,2.518788,3.20e-05,296.5
26,2.672004,3.33e-05,309.3
27,2.654163,3.47e-05,322.4
28,2.582746,3.60e-05,335.8
29,2.708979,3.73e-05,349.1
30,2.652929,3.87e-05,362.5
31,2.589209,4.00e-05,375.9
32,2.646554,4.13e-05,389.4
33,2.604666,4.27e-05,402.7
34,2.473995,4.40e-05,416.2
35,2.514268,4.53e-05,429.4
36,2.414140,4.67e-05,442.9
37,2.548178,4.80e-05,456.4
38,2.432295,4.93e-05,470.1
39,2.375209,5.07e-05,484.0
40,2.337938,5.20e-05,497.5
41,2.424992,5.33e-05,511.1
42,2.289511,5.47e-05,524.9
43,2.329958,5.60e-05,538.5
44,2.275238,5.73e-05,552.4
45,2.429708,5.87e-05,566.5
46,2.381881,6.00e-05,580.3
47,2.275893,6.13e-05,594.0
48,2.301946,6.27e-05,607.8
49,2.050601,6.40e-05,621.6
50,2.195354,6.53e-05,635.6
51,2.221580,6.67e-05,649.6
52,2.084171,6.80e-05,663.4
53,2.400197,6.93e-05,677.6
54,2.243325,7.07e-05,691.4
55,2.180032,7.20e-05,705.4
56,2.156445,7.33e-05,719.4
57,2.187281,7.47e-05,733.3
58,2.185712,7.60e-05,747.3
59,2.160115,7.73e-05,761.8
60,2.124339,7.87e-05,776.2
61,2.280711,8.00e-05,790.4
62,2.111758,8.13e-05,804.4
63,2.004683,8.27e-05,818.5
64,2.225031,8.40e-05,832.8
65,2.333938,8.53e-05,846.7
66,2.349540,8.67e-05,860.9
67,2.248917,8.80e-05,875.1
68,2.197183,8.93e-05,889.4
69,2.106046,9.07e-05,903.9
70,2.127037,9.20e-05,917.8
71,2.200886,9.33e-05,932.3
72,2.201845,9.47e-05,946.5
73,2.124993,9.60e-05,960.7
74,2.295934,9.73e-05,974.9
75,2.150199,9.87e-05,989.4
76,2.069592,1.00e-04,1004.0
77,2.174384,1.01e-04,1018.4
78,2.215236,1.03e-04,1032.6
79,2.067929,1.04e-04,1047.0
80,2.375399,1.05e-04,1061.6
81,2.082011,1.07e-04,1075.9
82,2.079692,1.08e-04,1090.1
83,2.134403,1.09e-04,1104.5
84,2.125171,1.11e-04,1119.0
85,2.117137,1.12e-04,1133.3
86,2.253313,1.13e-04,1147.4
87,2.137402,1.15e-04,1162.3
