step,loss,learning_rate,elapsed_s
1,2.959028,0.00e+00,8.3
2,2.825818,6.00e-07,14.3
3,2.855765,1.20e-06,20.3
4,2.915923,1.80e-06,26.4
5,2.957254,2.40e-06,32.4
6,2.876101,3.00e-06,38.3
7,2.901785,3.60e-06,44.4
8,2.964811,4.20e-06,50.4
9,2.880509,4.80e-06,56.5
10,2.871548,5.40e-06,62.6
11,2.895875,6.00e-06,68.7
12,2.859707,6.60e-06,74.7
13,2.935186,7.20e-06,80.8
14,2.867930,7.80e-06,86.9
15,2.746362,8.40e-06,92.9
16,2.721167,9.00e-06,99.0
17,2.643509,9.60e-06,105.2
18,2.657358,1.02e-05,111.3
19,2.611766,1.08e-05,117.4
20,2.577632,1.14e-05,123.4
21,2.620646,1.20e-05,129.6
22,2.582842,1.26e-05,135.7
23,2.532493,1.32e-05,141.8
24,2.587890,1.38e-05,147.9
25,2.536599,1.44e-05,154.0
26,2.548412,1.50e-05,160.0
27,2.454566,1.56e-05,166.1
28,2.520071,1.62e-05,172.3
29,2.431430,1.68e-05,178.4
30,2.506714,1.74e-05,184.5
31,2.455835,1.80e-05,190.6
32,2.455207,1.86e-05,196.7
33,2.444535,1.92e-05,202.8
34,2.469669,1.98e-05,208.9
35,2.447486,2.04e-05,215.1
36,2.386266,2.10e-05,221.2
37,2.382835,2.16e-05,227.3
38,2.374592,2.22e-05,233.4
39,2.305308,2.28e-05,239.6
40,2.379869,2.34e-05,245.6
41,2.275965,2.40e-05,251.7
42,2.411338,2.46e-05,257.9
43,2.325365,2.52e-05,264.0
44,2.411957,2.58e-05,270.1
45,2.377863,2.64e-05,276.2
46,2.302449,2.70e-05,282.4
47,2.320452,2.76e-05,288.4
48,2.366250,2.82e-05,294.6
49,2.362700,2.88e-05,300.7
50,2.265610,2.94e-05,306.8
51,2.273037,3.00e-05,313.0
52,2.303997,3.06e-05,319.1
53,2.271707,3.12e-05,325.2
54,2.279421,3.18e-05,331.3
55,2.329795,3.24e-05,337.5
56,2.275314,3.30e-05,343.6
57,2.265043,3.36e-05,349.7
58,2.213630,3.42e-05,355.8
59,2.245036,3.48e-05,362.0
60,2.208428,3.54e-05,368.1
61,2.226078,3.60e-05,374.3
62,2.360357,3.66e-05,380.4
63,2.218607,3.72e-05,386.5
64,2.259720,3.78e-05,392.6
65,2.259899,3.84e-05,398.7
66,2.310719,3.90e-05,404.8
67,2.292940,3.96e-05,411.0
68,2.217527,4.02e-05,417.1
69,2.282317,4.08e-05,423.3
70,2.221747,4.14e-05,429.4
71,2.163395,4.20e-05,435.5
72,2.237089,4.26e-05,441.6
73,2.252302,4.32e-05,447.8
74,2.193134,4.38e-05,453.9
75,2.168039,4.44e-05,460.0
76,2.210397,4.50e-05,466.1
77,2.305458,4.56e-05,472.2
78,2.245066,4.62e-05,478.4
79,2.245011,4.68e-05,484.5
80,2.239461,4.74e-05,490.7
81,2.225795,4.80e-05,496.8
82,2.203062,4.86e-05,502.9
83,2.226984,4.92e-05,509.0
84,2.214937,4.98e-05,515.1
85,2.230669,5.04e-05,521.3
86,2.163383,5.10e-05,527.4
87,2.142503,5.16e-05,533.5
88,2.272598,5.22e-05,539.6
89,2.241953,5.28e-05,545.8
90,2.193557,5.34e-05,551.9
91,2.157314,5.40e-05,558.0
92,2.183488,5.46e-05,564.2
93,2.232794,5.52e-05,570.3
94,2.206586,5.58e-05,576.5
95,2.334632,5.64e-05,582.6
96,2.192448,5.70e-05,588.7
97,2.202880,5.76e-05,594.9
98,2.231805,5.82e-05,601.0
99,2.192777,5.88e-05,607.1
100,2.210545,5.94e-05,613.2
101,2.238204,6.00e-05,619.3
102,2.194474,6.06e-05,625.4
103,2.102880,6.12e-05,631.6
104,2.227117,6.18e-05,637.7
105,2.134161,6.24e-05,643.8
106,2.158675,6.30e-05,649.9
107,2.100697,6.36e-05,656.0
108,2.225995,6.42e-05,662.2
109,2.137552,6.48e-05,668.3
110,2.188089,6.54e-05,674.4
111,2.179096,6.60e-05,680.6
112,2.163336,6.66e-05,686.7
113,2.209670,6.72e-05,692.8
114,2.244483,6.78e-05,699.0
115,2.141970,6.84e-05,705.1
116,2.147929,6.90e-05,711.2
117,2.118052,6.96e-05,717.3
118,2.254210,7.02e-05,723.5
119,2.163271,7.08e-05,729.6
120,2.185904,7.14e-05,735.7
121,2.103243,7.20e-05,741.8
122,2.119783,7.26e-05,748.0
123,2.227808,7.32e-05,754.1
124,2.140089,7.38e-05,760.2
