step,loss,learning_rate,elapsed_s
1,2.829897,0.00e+00,11.2
2,2.822543,6.00e-07,21.1
3,2.912770,1.20e-06,30.8
4,2.845716,1.80e-06,41.0
5,2.807590,2.40e-06,50.8
6,2.795769,3.00e-06,60.5
7,2.775603,3.60e-06,70.7
8,2.851004,4.20e-06,80.8
9,2.767465,4.80e-06,90.7
10,2.864254,5.40e-06,100.8
11,2.775285,6.00e-06,110.8
12,2.810126,6.60e-06,121.0
13,2.682730,7.20e-06,131.7
14,2.640163,7.80e-06,141.8
15,2.722464,8.40e-06,151.9
16,2.650467,9.00e-06,162.4
17,2.618838,9.60e-06,172.2
18,2.569710,1.02e-05,182.1
19,2.540507,1.08e-05,192.4
20,2.474585,1.14e-05,202.3
21,2.437279,1.20e-05,212.2
22,2.439595,1.26e-05,222.8
23,2.416836,1.32e-05,233.2
24,2.394163,1.38e-05,243.2
25,2.393058,1.44e-05,253.5
26,2.271894,1.50e-05,263.8
27,2.379954,1.56e-05,273.8
28,2.448991,1.62e-05,283.9
29,2.339854,1.68e-05,294.3
30,2.355446,1.74e-05,304.3
31,2.391673,1.80e-05,314.3
32,2.259812,1.86e-05,324.8
33,2.271374,1.92e-05,334.8
34,2.241261,1.98e-05,344.9
35,2.310179,2.04e-05,355.3
36,2.144545,2.10e-05,365.4
37,2.213419,2.16e-05,375.5
38,2.215630,2.22e-05,385.8
39,2.250365,2.28e-05,395.9
40,2.239401,2.34e-05,406.0
41,2.274390,2.40e-05,416.4
42,2.213967,2.46e-05,426.5
43,2.215422,2.52e-05,436.5
44,2.150097,2.58e-05,446.6
45,2.154793,2.64e-05,456.3
46,2.119318,2.70e-05,466.1
47,2.165562,2.76e-05,476.3
48,2.227356,2.82e-05,486.1
49,2.198671,2.88e-05,496.0
50,2.190083,2.94e-05,506.1
51,2.194676,3.00e-05,516.4
52,2.227385,3.06e-05,526.5
53,2.222505,3.12e-05,536.7
54,2.114967,3.18e-05,546.9
55,2.218153,3.24e-05,557.0
56,2.202495,3.30e-05,567.2
57,2.186698,3.36e-05,577.8
58,2.043681,3.42e-05,588.0
59,2.151476,3.48e-05,598.1
60,2.136393,3.54e-05,608.3
61,2.160647,3.60e-05,618.0
62,2.074259,3.66e-05,627.7
63,2.133877,3.72e-05,637.9
64,2.126662,3.78e-05,647.7
65,2.057913,3.84e-05,657.4
66,2.251978,3.90e-05,667.5
67,2.076902,3.96e-05,677.3
68,2.081131,4.02e-05,686.9
69,2.109755,4.08e-05,697.1
70,2.176628,4.14e-05,706.9
71,2.098115,4.20e-05,716.6
72,2.163558,4.26e-05,726.6
73,2.074636,4.32e-05,736.5
74,2.136209,4.38e-05,746.2
75,2.159345,4.44e-05,756.3
76,2.040740,4.50e-05,766.7
77,2.161533,4.56e-05,776.7
78,2.173389,4.62e-05,786.8
79,2.109336,4.68e-05,797.2
80,2.078677,4.74e-05,807.4
81,2.060199,4.80e-05,817.8
82,2.101313,4.86e-05,828.4
83,2.105829,4.92e-05,838.5
84,2.094368,4.98e-05,848.7
85,2.165595,5.04e-05,859.1
86,2.119214,5.10e-05,869.2
87,2.089131,5.16e-05,879.3
88,2.114155,5.22e-05,889.8
89,2.076885,5.28e-05,899.9
90,2.097312,5.34e-05,909.9
91,2.128818,5.40e-05,920.4
92,2.056658,5.46e-05,930.4
93,2.140663,5.52e-05,940.5
94,2.014652,5.58e-05,950.9
95,2.117791,5.64e-05,960.9
96,2.054566,5.70e-05,971.1
97,2.107353,5.76e-05,981.5
98,2.010558,5.82e-05,991.6
99,2.020266,5.88e-05,1001.6
100,2.050880,5.94e-05,1012.0
101,2.087420,6.00e-05,1022.1
102,2.057882,6.06e-05,1032.2
103,2.042159,6.12e-05,1042.7
104,2.148090,6.18e-05,1052.8
105,2.104617,6.24e-05,1062.8
106,2.036707,6.30e-05,1073.3
107,2.014675,6.36e-05,1083.4
108,2.028899,6.42e-05,1093.4
109,2.105616,6.48e-05,1103.8
110,2.074481,6.54e-05,1113.9
111,2.165395,6.60e-05,1123.9
112,1.988921,6.66e-05,1134.2
113,2.066465,6.72e-05,1144.5
114,2.065679,6.78e-05,1154.5
115,2.013428,6.84e-05,1164.7
116,2.050813,6.90e-05,1175.1
117,1.984694,6.96e-05,1185.1
118,2.054143,7.02e-05,1195.2
119,2.078456,7.08e-05,1205.7
120,2.048964,7.14e-05,1215.7
121,2.039190,7.20e-05,1225.7
122,2.140278,7.26e-05,1236.2
123,2.021522,7.32e-05,1246.2
124,2.045901,7.38e-05,1256.3
125,2.093543,7.44e-05,1266.7
126,2.050505,7.50e-05,1276.8
127,2.052169,7.56e-05,1286.9
128,2.075058,7.62e-05,1297.3
129,2.079038,7.68e-05,1307.3
130,2.069562,7.74e-05,1317.4
131,2.048586,7.80e-05,1327.9
132,1.986854,7.86e-05,1337.9
133,2.073071,7.92e-05,1348.0
134,2.046522,7.98e-05,1358.3
135,2.043936,8.04e-05,1368.4
136,2.022344,8.10e-05,1378.5
137,2.086903,8.16e-05,1388.9
138,2.085947,8.22e-05,1399.0
139,2.085620,8.28e-05,1409.0
140,2.024439,8.34e-05,1419.4
141,2.036611,8.40e-05,1429.5
142,2.014105,8.46e-05,1439.5
143,2.025796,8.52e-05,1449.8
144,2.050594,8.58e-05,1459.7
145,2.031214,8.64e-05,1469.5
146,2.073157,8.70e-05,1479.9
147,2.023163,8.76e-05,1490.3
148,2.069934,8.82e-05,1500.3
149,2.040635,8.88e-05,1510.5
150,2.014828,8.94e-05,1521.0
151,2.013138,9.00e-05,1531.0
152,2.007523,9.06e-05,1541.1
153,2.044391,9.12e-05,1551.6
154,2.027058,9.18e-05,1561.6
155,2.100392,9.24e-05,1571.6
156,2.062428,9.30e-05,1582.1
157,2.067785,9.36e-05,1592.1
158,2.052717,9.42e-05,1602.1
159,2.033958,9.48e-05,1612.6
160,2.064562,9.54e-05,1622.6
161,2.062712,9.60e-05,1632.7
162,2.103596,9.66e-05,1643.2
163,2.105788,9.72e-05,1653.2
164,1.986175,9.78e-05,1663.2
165,2.039156,9.84e-05,1673.6
166,2.054361,9.90e-05,1683.7
167,1.948352,9.96e-05,1693.8
168,1.960314,1.00e-04,1704.2
169,2.019614,1.01e-04,1714.4
