step,loss,learning_rate,elapsed_s
1,3.641087,0.00e+00,10.9
2,3.623858,1.00e-05,20.6
3,3.544720,2.00e-05,30.3
4,3.847910,3.00e-05,40.3
5,3.498154,4.00e-05,50.7
6,3.591318,5.00e-05,61.5
7,3.548703,6.00e-05,72.4
8,3.574927,7.00e-05,83.7
9,3.185574,8.00e-05,95.3
10,3.123529,9.00e-05,107.0
11,3.155696,1.00e-04,118.6
12,3.321354,1.10e-04,130.1
13,3.010680,1.20e-04,141.9
14,3.113923,1.30e-04,153.5
15,2.994864,1.40e-04,164.9
16,2.866648,1.50e-04,176.3
17,2.775227,1.60e-04,187.7
18,2.764424,1.70e-04,199.2
19,2.798359,1.80e-04,210.7
20,2.718280,1.90e-04,222.0
21,2.660708,2.00e-04,233.4
22,2.401979,2.00e-04,244.9
23,2.349793,2.00e-04,256.5
24,2.316536,2.00e-04,267.9
25,2.320456,2.00e-04,279.3
26,2.158901,2.00e-04,290.8
27,2.189352,1.99e-04,302.3
28,2.248914,1.99e-04,313.8
29,2.007172,1.99e-04,325.1
30,2.127426,1.99e-04,336.7
31,2.045729,1.98e-04,348.2
32,2.153575,1.98e-04,359.6
33,2.171037,1.98e-04,371.0
34,1.801513,1.97e-04,382.5
35,1.917911,1.97e-04,394.1
36,1.996391,1.97e-04,405.5
37,1.830512,1.96e-04,416.7
38,1.847103,1.96e-04,428.2
39,1.482784,1.95e-04,439.9
40,1.855129,1.95e-04,451.4
41,1.995641,1.94e-04,462.9
42,1.593303,1.93e-04,474.3
43,1.468644,1.93e-04,485.7
44,2.116246,1.92e-04,497.3
45,1.468621,1.91e-04,508.7
46,1.626609,1.91e-04,520.1
47,1.731537,1.90e-04,531.6
48,1.457663,1.89e-04,543.1
49,1.275284,1.88e-04,554.5
50,1.497750,1.87e-04,565.9
51,1.033607,1.87e-04,577.3
52,1.321799,1.86e-04,588.9
53,1.470780,1.85e-04,600.2
54,1.278231,1.84e-04,611.7
55,1.454946,1.83e-04,623.2
56,1.477131,1.82e-04,634.6
57,1.921483,1.81e-04,646.1
58,1.573601,1.80e-04,657.4
59,1.178947,1.79e-04,668.9
60,1.318750,1.78e-04,680.2
61,1.559112,1.77e-04,691.7
62,1.817276,1.75e-04,703.0
63,1.286259,1.74e-04,714.2
64,1.850146,1.73e-04,725.7
65,1.404112,1.72e-04,737.1
66,1.258573,1.71e-04,748.5
67,0.866385,1.69e-04,759.8
68,1.387261,1.68e-04,771.2
69,1.348436,1.67e-04,782.7
70,1.123458,1.66e-04,794.2
71,0.924084,1.64e-04,805.6
72,0.987783,1.63e-04,817.0
73,1.326241,1.62e-04,828.6
74,0.990557,1.60e-04,839.8
75,0.972268,1.59e-04,851.2
76,1.092806,1.57e-04,862.6
77,1.400346,1.56e-04,874.1
78,1.516285,1.54e-04,885.5
79,0.812379,1.53e-04,896.8
80,1.335457,1.52e-04,908.5
81,1.199846,1.50e-04,920.0
82,1.494685,1.48e-04,931.5
83,1.687095,1.47e-04,942.9
84,1.493420,1.45e-04,954.2
85,1.618089,1.44e-04,965.7
86,1.643924,1.42e-04,977.3
87,1.193357,1.41e-04,988.7
88,1.443737,1.39e-04,1000.1
89,0.950862,1.37e-04,1011.6
90,1.004930,1.36e-04,1023.1
91,1.354326,1.34e-04,1034.5
92,1.858840,1.33e-04,1046.0
93,0.968517,1.31e-04,1057.5
94,0.948482,1.29e-04,1068.9
95,1.011475,1.28e-04,1080.3
96,0.898708,1.26e-04,1091.6
97,1.210532,1.24e-04,1103.1
98,1.199624,1.22e-04,1114.5
99,0.846624,1.21e-04,1126.1
100,1.215541,1.19e-04,1137.5
101,1.104932,1.17e-04,1148.9
102,1.126528,1.16e-04,1160.3
103,1.480917,1.14e-04,1171.8
