step,loss,learning_rate,elapsed_s
1,3.671985,0.00e+00,7.8
2,3.519055,6.00e-07,13.8
3,3.529949,1.20e-06,19.9
4,3.587373,1.80e-06,25.9
5,3.634594,2.40e-06,31.9
6,3.666969,3.00e-06,38.0
7,3.344683,3.60e-06,44.1
8,3.562296,4.20e-06,50.1
9,3.380990,4.80e-06,56.2
10,3.448545,5.40e-06,62.4
11,3.527315,6.00e-06,68.7
12,3.412824,6.60e-06,75.6
13,3.313587,7.20e-06,83.5
14,3.352860,7.80e-06,91.8
15,3.296569,8.40e-06,101.2
16,3.219440,9.00e-06,111.4
17,3.145668,9.60e-06,122.2
18,2.869968,1.02e-05,133.5
19,2.838439,1.08e-05,144.7
20,2.965236,1.14e-05,156.3
21,2.857690,1.20e-05,167.6
22,2.641918,1.26e-05,179.1
23,2.607048,1.32e-05,190.2
24,2.669499,1.38e-05,202.2
25,2.607425,1.44e-05,213.7
26,2.541439,1.50e-05,224.9
27,2.512359,1.56e-05,236.7
28,2.429344,1.62e-05,248.1
29,2.341606,1.68e-05,259.8
30,2.303973,1.74e-05,271.2
31,2.212263,1.80e-05,282.9
32,2.237710,1.86e-05,294.7
33,2.231446,1.92e-05,306.3
34,2.119756,1.98e-05,317.8
35,2.159287,2.04e-05,329.6
36,2.001983,2.10e-05,341.6
37,2.020829,2.16e-05,353.2
38,1.946087,2.22e-05,365.1
39,1.952191,2.28e-05,376.7
40,1.885812,2.34e-05,388.4
41,1.900367,2.40e-05,400.0
42,1.912047,2.46e-05,411.5
43,1.823240,2.52e-05,423.1
44,1.688226,2.58e-05,434.7
45,1.744776,2.64e-05,445.7
46,1.660519,2.70e-05,457.6
47,1.709055,2.76e-05,469.2
48,1.701653,2.82e-05,480.6
49,1.672065,2.88e-05,492.5
50,1.279473,2.94e-05,504.1
51,1.526738,3.00e-05,515.6
52,1.526057,3.06e-05,527.3
53,1.515523,3.12e-05,539.2
54,1.390120,3.18e-05,550.9
55,1.546916,3.24e-05,562.2
56,1.435779,3.30e-05,573.6
57,1.264711,3.36e-05,584.9
58,1.419525,3.42e-05,596.9
59,1.523234,3.48e-05,608.4
60,1.497028,3.54e-05,619.3
61,1.269012,3.60e-05,630.9
62,1.123960,3.66e-05,642.2
63,1.519585,3.72e-05,654.1
64,1.204836,3.78e-05,666.1
65,1.357295,3.84e-05,677.9
66,1.175701,3.90e-05,689.5
67,1.304293,3.96e-05,700.4
68,1.238742,4.02e-05,712.4
69,1.390838,4.08e-05,724.2
70,1.134980,4.14e-05,735.5
71,0.959798,4.20e-05,747.1
72,1.051905,4.26e-05,758.5
73,0.949394,4.32e-05,769.7
74,0.944529,4.38e-05,781.9
75,1.086751,4.44e-05,793.2
