step,loss,learning_rate,elapsed_s
1,2.552000,1.92e-07,3.5
2,2.627100,3.84e-07,6.0
3,2.572600,5.76e-07,8.4
4,2.560600,7.68e-07,10.8
5,2.669600,9.60e-07,13.3
6,2.595700,1.15e-06,15.7
7,2.726200,1.34e-06,18.1
8,2.675100,1.54e-06,20.6
9,2.538300,1.73e-06,23.0
10,2.625900,1.92e-06,25.5
11,2.637500,2.11e-06,27.9
12,2.593100,2.30e-06,30.3
13,2.626700,2.50e-06,32.7
14,2.559900,2.69e-06,35.2
15,2.514300,2.88e-06,37.6
16,2.647100,3.07e-06,40.0
17,2.430000,3.27e-06,42.5
18,2.561600,3.46e-06,44.9
19,2.527300,3.65e-06,47.4
20,2.553600,3.84e-06,49.8
21,2.476500,4.03e-06,52.2
22,2.433000,4.23e-06,54.7
23,2.367500,4.42e-06,57.1
24,2.431300,4.61e-06,59.6
25,2.366100,4.80e-06,62.0
26,2.402300,4.99e-06,64.4
27,2.357900,5.19e-06,66.9
28,2.364600,5.38e-06,69.3
29,2.348800,5.57e-06,71.7
30,2.326300,5.76e-06,74.2
31,2.239900,5.95e-06,76.6
32,2.217000,6.15e-06,79.0
33,2.271300,6.34e-06,81.5
34,2.312300,6.53e-06,83.9
35,2.297600,6.72e-06,86.4
36,2.288500,6.91e-06,88.8
37,2.204400,7.11e-06,91.2
38,2.289900,7.30e-06,93.7
39,2.180300,7.49e-06,96.1
40,2.098100,7.68e-06,98.6
41,2.087100,7.87e-06,101.0
42,2.126100,8.07e-06,103.4
43,2.207000,8.26e-06,105.9
44,2.134900,8.45e-06,108.3
45,2.111500,8.64e-06,110.7
46,2.124100,8.83e-06,113.2
47,2.153900,9.03e-06,115.6
48,2.093000,9.22e-06,118.0
49,1.986200,9.41e-06,120.5
50,1.985800,9.60e-06,122.9
51,2.125800,9.80e-06,125.4
52,2.039400,9.99e-06,127.8
53,2.042200,1.02e-05,130.2
54,1.952300,1.04e-05,132.7
55,1.977800,1.06e-05,135.1
56,1.994400,1.08e-05,137.6
57,2.025900,1.09e-05,140.0
58,2.027000,1.11e-05,142.4
59,1.967000,1.13e-05,144.9
60,2.035200,1.15e-05,147.3
61,1.896100,1.17e-05,149.7
62,1.882600,1.19e-05,152.2
63,1.882300,1.21e-05,154.6
64,1.957900,1.23e-05,157.1
65,1.910100,1.25e-05,159.5
66,1.883900,1.27e-05,161.9
67,1.916500,1.29e-05,164.3
68,2.027500,1.31e-05,166.8
69,2.015500,1.33e-05,169.2
70,1.902500,1.34e-05,171.7
